"","sale_head","price","price_sqm","created","floor_size","level_condo","num_bed","num_bath","condo_name","zone","near_lo_type1","near_lo_name1","near_lo_dist1","near_lo_type2","near_lo_name2","near_lo_dist2","near_lo_type3","near_lo_name3","near_lo_dist3","near_lo_type4","near_lo_name4","near_lo_dist4","near_lo_type5","near_lo_name5","near_lo_dist5","near_lo_type6","near_lo_name6","near_lo_dist6","owner","longitude","latitude","list_link"
"1","0031-CRH🎹 For SELL ขายห้อง Studio🚅ใกล้ MRT ห้วยขวาง🏦ศุภาลัย ซิตี้ รีสอร์ท รัชดา–ห้วยขวาง Supalai City Resort Ratchada–Huaykhwang🗝พื้นที่:30.97ตร.ม.💲ขาย:1,890,000฿📞O65-9423251✅LineID:@sureresidence","฿1,890,000","(61,027 B./Sq.m.)","Created 2022-06-03 18:53","30.97 Sq.m.","Level 7","Studio room","Studio room","Condo Supalai City Resort Ratchada - Huaikwang","Ratchadapisek, Huaikwang, Suttisan","living_mall","The Street Ratchada","0.6 Km.","living_mall","Big C Extra Ratchadapisek","0.8 Km.","living_transit","MRT Huai Khwang","0.9 Km.","living_transit","MRT Thailand Cultural Center","1.0 Km.","living_mall","CentralPlaza Grand Rama 9","1.9 Km.","living_mall","FortuneTown","2.0 Km.","Sureresidence",100.5776208,13.7718078,"https://www.livinginsider.com/livingdetail_en/1141084/0031-CRH-For-SELL-%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87-Studio%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-MRT-%E0%B8%AB%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%82%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2-%E0%B8%8B%E0%B8%B4%E0%B8%95%E0%B8%B5%E0%B9%89-%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%97-%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%82%E0%B8%A7%E0%B8%B2%E0%B8%87-Supalai-Cit.html"
"2","“Life Suttisan Room, cheapest price in this project, big room, fully furnished, clear view “","฿3,479,000","(Stock ID : C2207270235LI)","Created 2022-11-11 13:45","40.59 Sq.m.","Level 22","1 Bedrooms","1 Bedrooms","Condo Life @ Ratchada - Sutthisan","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Sutthisan","0.1 Km.","living_transit","MRT Ratchadaphisek","0.9 Km.","living_academy","University of the Thai Chamber of Commerce","2.0 Km.","living_mall","The Street Ratchada","2.3 Km.","living_mall","Big C Extra Ratchadapisek","2.5 Km.","living_academy","Civil Aviation Training Center","2.6 Km.","The Bangkok Residenc...",100.5746579,13.7909369,"https://www.livinginsider.com/livingdetail_en/1368730/Life-Suttisan-Room-cheapest-price-in-this-project-big-room-fully-furnished-clear-view-quo.html"
"3","🔥ขายถูก Asher Ratchada ( แอชเชอร์ รัชดา ) ใกล้ MRT สุทธิสาร คอนโดแต่งครบ ห้องใหม่ไม่เคยเข้าอยู่***งดนายหน้า","฿1,990,000","(73,704 B./Sq.m.)","Created 2022-09-16 20:20","27 Sq.m.","Level 3","1 Bedrooms","1 Bedrooms","Condo ASHER Ratchada","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Sutthisan","1.3 Km.","living_hospital","Paolohospital chokchai4","2.1 Km.","living_mall","The Street Ratchada","2.2 Km.","living_mall","Big C Extra Ratchadapisek","2.4 Km.","living_academy","University of the Thai Chamber of Commerce","2.8 Km.","living_mall","Big C Supercenter Latphrao","2.9 Km.","wanich12",100.5846066,13.7858326,"https://www.livinginsider.com/livingdetail_en/1283412/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%96%E0%B8%B9%E0%B8%81-Asher-Ratchada-%E0%B9%81%E0%B8%AD%E0%B8%8A%E0%B9%80%E0%B8%8A%E0%B8%AD%E0%B8%A3%E0%B9%8C-%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%94%E0%B8%B2-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-MRT-%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B8%AA%E0%B8%B2%E0%B8%A3-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B9%81%E0%B8%95%E0%B9%88%E0%B8%87%E0%B8%84%E0%B8%A3%E0%B8%9A-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B9%80%E0%B8%84%E0%B8%A2%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%AD%E0%B8%A2%E0%B8%B9%E0%B9%88%E0%B8%87%E0%B8%94.html"
"4","(Owner) Sell down 1 bed, 9th floor, pool view, wide room Cheapest in the project!!! THE STAGE Mindscape Ratchada - Huai Khwang","฿2,797,000","(104,600 B./Sq.m.)","Created 2021-03-29 14:48","26.74 Sq.m.","Level 9","1 Bedrooms","1 Bedrooms","Condo THE STAGE Mindscape Ratchada - Huai Khwang","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.3 Km.","living_mall","The Street Ratchada","1.0 Km.","living_mall","Big C Extra Ratchadapisek","1.2 Km.","living_academy","University of the Thai Chamber of Commerce","1.7 Km.","living_mall","CentralPlaza Grand Rama 9","2.5 Km.","living_mall","FortuneTown","2.5 Km.","numai_numai",100.5771585,13.7784063,"https://www.livinginsider.com/livingdetail_en/722898/Owner-Sell-down-1-bed-9th-floor-pool-view-wide-room-Cheapest-in-the-project-THE-STAGE-Mindsc.html"
"5","XT Huai Khwang, high floor, very beautiful view 🚝 Ready to move, free furniture, Call now 📞062-4245474","฿3,490,000","(116,333 B./Sq.m.)","Created 2022-04-29 22:57","30 Sq.m.","Level 11-20","1 Bedrooms","1 Bedrooms","Condo XT Huaikhwang","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.2 Km.","living_mall","The Street Ratchada","1.1 Km.","living_mall","Big C Extra Ratchadapisek","1.3 Km.","living_academy","University of the Thai Chamber of Commerce","1.5 Km.","living_transit","MRT Thailand Cultural Center","1.6 Km.","living_mall","FortuneTown","2.6 Km.","maimiko",100.5755896,13.7803364,"https://www.livinginsider.com/livingdetail_en/1103316/XT-Huai-Khwang-high-floor-very-beautiful-view-Ready-to-move-free-furniture-Call-now-062-42454.html"
"6","𝐗𝐓 𝗛𝘂𝗮𝗶𝗞𝗵𝘄𝗮𝗻𝗴 | 2Bed 54Sq.m | 🔥𝐇𝐎𝐓 𝐏𝐑𝐈𝐂𝐄 ✔️The Best Price Guarantee 💯📱𝟬𝟲𝟮-𝟰𝟮𝟰𝟱𝟰𝟳𝟰","฿5,990,000","(110,721 B./Sq.m.)","Created 2022-04-06 12:37","54.10 Sq.m.","Level 5-10","2 Bedrooms","2 Bedrooms","Condo XT Huaikhwang","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.2 Km.","living_mall","The Street Ratchada","1.1 Km.","living_mall","Big C Extra Ratchadapisek","1.3 Km.","living_academy","University of the Thai Chamber of Commerce","1.5 Km.","living_transit","MRT Thailand Cultural Center","1.6 Km.","living_mall","FortuneTown","2.6 Km.","maimiko",100.5755896,13.7803364,"https://www.livinginsider.com/livingdetail_en/1079899/%F0%9D%90%97%F0%9D%90%93-%F0%9D%97%9B%F0%9D%98%82%F0%9D%97%AE%F0%9D%97%B6%F0%9D%97%9E%F0%9D%97%B5%F0%9D%98%84%F0%9D%97%AE%F0%9D%97%BB%F0%9D%97%B4-2Bed-54Sq-m-%F0%9D%90%87%F0%9D%90%8E%F0%9D%90%93-%F0%9D%90%8F%F0%9D%90%91%F0%9D%90%88%F0%9D%90%82%F0%9D%90%84-%EF%B8%8FThe-Best-Price-Guarantee-%F0%9D%9F%AC%F0%9D%9F%B2%F0%9D%9F%AE-%F0%9D%9F%B0%F0%9D%9F%AE%F0%9D%9F%B0%F0%9D%9F%B1%F0%9D%9F%B0%F0%9D%9F%B3%F0%9D%9F%B0.html"
"7","1 Bedroom Fully Furnished For Sales with Tenancy","฿6,560,000","(160,000 B./Sq.m.)","Created 2022-10-12 16:34","41 Sq.m.","Level 11-20","1 Bedrooms","1 Bedrooms","Condo Centric Huai Khwang Station","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.2 Km.","living_transit","MRT Sutthisan","1.0 Km.","living_mall","The Street Ratchada","1.1 Km.","living_mall","Big C Extra Ratchadapisek","1.3 Km.","living_academy","University of the Thai Chamber of Commerce","1.5 Km.","living_mall","FortuneTown","2.6 Km.","LivableHome (Sales)",100.5740166,13.7804357,"https://www.livinginsider.com/livingdetail_en/1322999/1-Bedroom-Fully-Furnished-For-Sales-with-Tenancy.html"
"8","(C5067) Newly renovated room, Condo U-delight @Huay Kwang, free!! Electrical appliances and new furniture in the whole room","฿3,990,000","(61,385 B./Sq.m.)","Created 2022-11-24 14:47","65 Sq.m.","Level 11-20","2 Bedrooms","2 Bedrooms","Condo U Delight @ Huaykwang Station","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.9 Km.","living_mall","The Street Ratchada","0.9 Km.","living_mall","Big C Extra Ratchadapisek","1.1 Km.","living_hospital","Piyavate Hospital","2.2 Km.","living_mall","CentralPlaza Grand Rama 9","2.2 Km.","living_academy","University of the Thai Chamber of Commerce","2.3 Km.","Tanya-fastreal",100.5800942,13.7727781,"https://www.livinginsider.com/livingdetail_en/1386270/C5067-Newly-renovated-room-Condo-U-delight-Huay-Kwang-free-Electrical-appliances-and-new-furn.html"
"9","Super Shock Urgent sale !! Fully furnished room with everything!! 🔥 XT Huai Khwang 🔥 1 large bedroom, 35 sq m!! Price 3.99 million baht 🔥 (11x,xxx.-!! per sq m.)🔥 Fully furnished, complete with furniture, electric 🔥 Brand new from Sansiri. On Ratchadaphis","฿3,990,000","(114,000 B./Sq.m.)","Created 2022-03-09 15:25","35 Sq.m.","Level 11-20","1 Bedrooms","1 Bedrooms","Condo XT Huaikhwang","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Huai Khwang","0.2 Km.","living_mall","The Street Ratchada","1.1 Km.","living_mall","Big C Extra Ratchadapisek","1.3 Km.","living_academy","University of the Thai Chamber of Commerce","1.5 Km.","living_transit","MRT Thailand Cultural Center","1.6 Km.","living_mall","FortuneTown","2.6 Km.","Natchanan_v1",100.5755896,13.7803364,"https://www.livinginsider.com/livingdetail_en/1047893/Super-Shock-Urgent-sale-Fully-furnished-room-with-everything-XT-Huai-Khwang-1-large-bedroom.html"
"10","convenient cozy calm condo. @ MRT","฿4,800,000","(80,000 B./Sq.m.)","Created 2022-10-01 12:45","60 Sq.m.","Level 14","1 Bedrooms","1 Bedrooms","Condo Life @ Ratchada - Sutthisan","Ratchadapisek, Huaikwang, Suttisan","living_transit","MRT Sutthisan","0.1 Km.","living_transit","MRT Ratchadaphisek","0.9 Km.","living_academy","University of the Thai Chamber of Commerce","2.0 Km.","living_mall","The Street Ratchada","2.3 Km.","living_mall","Big C Extra Ratchadapisek","2.5 Km.","living_academy","Civil Aviation Training Center","2.6 Km.","jirawatlersin",100.5746579,13.7909369,"https://www.livinginsider.com/livingdetail_en/1305284/convenient-cozy-calm-condo-MRT.html"
